LATITUDE,LONGITUDE,DATE,PRCP (MM),TAVG (CELSIUS)
51.478,-0.461,01/08/2017,0,17.1
51.478,-0.461,02/08/2017,0.8,16.8
51.478,-0.461,03/08/2017,7.1,18.4
51.478,-0.461,04/08/2017,0,18.3
51.478,-0.461,05/08/2017,0,16.8
51.478,-0.461,06/08/2017,0.5,16.2
51.478,-0.461,07/08/2017,0,16.7
51.478,-0.461,08/08/2017,0.3,15.2
51.478,-0.461,09/08/2017,1,14.1
51.478,-0.461,10/08/2017,22.1,16.1
51.478,-0.461,11/08/2017,0,16.1
51.478,-0.461,12/08/2017,0,18.7
51.478,-0.461,13/08/2017,0,17.2
51.478,-0.461,14/08/2017,0,17.6
51.478,-0.461,15/08/2017,0,18.2
51.478,-0.461,16/08/2017,0,16.9
51.478,-0.461,17/08/2017,3.8,19.4
51.478,-0.461,18/08/2017,3.8,16.1
51.478,-0.461,19/08/2017,7.1,16.1
51.478,-0.461,20/08/2017,0,15.1
51.478,-0.461,21/08/2017,6.6,16.7
51.478,-0.461,22/08/2017,0.3,19.3
51.478,-0.461,23/08/2017,0.3,18.7
51.478,-0.461,24/08/2017,0,17
51.478,-0.461,25/08/2017,0,18.1
51.478,-0.461,26/08/2017,0,19.6
51.478,-0.461,27/08/2017,0,20.4
51.478,-0.461,28/08/2017,0,21.3
51.478,-0.461,29/08/2017,0,20
51.478,-0.461,30/08/2017,0.3,36
51.478,-0.461,31/08/2017,3.6,14.3
51.478,-0.461,01/09/2017,1.5,16.1
51.478,-0.461,02/09/2017,0,15.8
51.478,-0.461,03/09/2017,0,13.7
51.478,-0.461,04/09/2017,6.1,17.7
51.478,-0.461,05/09/2017,0.3,17.6
51.478,-0.461,06/09/2017,1.5,15.8
51.478,-0.461,07/09/2017,0,15.8
51.478,-0.461,08/09/2017,0.8,15.8
51.478,-0.461,09/09/2017,6.1,13.2
51.478,-0.461,10/09/2017,7.1,13.3
51.478,-0.461,11/09/2017,0.5,14.4
51.478,-0.461,12/09/2017,0.8,14.3
51.478,-0.461,13/09/2017,2.5,14.8